delta,lat,lon,depth_top_cm,depth_bot_cm,soc,ph,clay,silt,sand,source
Mississippi,30.0063324,-91.7636641999999,27.0,43.0,4.3,7.7,41.4,55.7,2.9,WoSIS
Mississippi,30.0063324,-91.7636641999999,43.0,67.0,2.9,7.7,41.6,55.5,2.9,WoSIS
Mississippi,30.0063324,-91.7636641999999,67.0,94.0,2.3,7.6,36.1,62.0,1.9,WoSIS
Mississippi,30.0063324,-91.7636641999999,94.0,117.0,2.3,7.4,37.6,60.1,2.3,WoSIS
Limpopo,-25.133,33.536,0.0,10.0,21.5,7.4,63.0,25.0,12.0,WoSIS
Limpopo,-25.133,33.536,10.0,100.0,10.4,7.2,70.0,27.0,4.0,WoSIS
Limpopo,-25.072,33.792,0.0,35.0,5.8,6.2,5.0,5.0,91.0,WoSIS
Limpopo,-25.072,33.792,35.0,55.0,3.5,6.3,5.0,5.0,90.0,WoSIS
Limpopo,-25.072,33.792,55.0,75.0,1.7,6.5,7.0,3.0,90.0,WoSIS
Limpopo,-25.072,33.792,95.0,125.0,1.2,6.6,6.0,5.0,89.0,WoSIS
Danube,45.4,29.299722222222226,0.0,16.0,15.0,8.0,24.0,56.0,20.0,WoSIS
Danube,45.4,29.299722222222226,16.0,29.0,16.0,8.0,29.0,62.0,9.0,WoSIS
Danube,45.4,29.299722222222226,29.0,45.0,10.0,8.0,24.0,60.0,16.0,WoSIS
Danube,45.4,29.299722222222226,45.0,74.0,3.0,8.3,10.0,53.0,37.0,WoSIS
Danube,45.4,29.299722222222226,74.0,92.0,4.0,8.3,14.0,68.0,18.0,WoSIS
Rhine-Meuse,52.30638888888889,4.522777777777778,0.0,7.0,11.6,3.8,2.0,1.0,97.0,WoSIS
Rhine-Meuse,52.30638888888889,4.522777777777778,7.0,15.0,2.5,4.2,2.0,1.0,97.0,WoSIS
Mackenzie,68.41666666666667,-133.86666666666667,0.0,11.0,40.0,7.9,17.0,80.0,3.0,WoSIS
Mackenzie,68.41666666666667,-133.86666666666667,11.0,71.0,35.0,7.9,15.0,80.0,5.0,WoSIS
Mackenzie,68.41666666666667,-133.86666666666667,71.0,110.0,39.0,7.9,19.0,73.0,8.0,WoSIS
Sacramento,37.9677773,-121.640831,0.0,15.0,18.5,7.1,41.3,36.5,22.2,WoSIS
Sacramento,37.9677773,-121.640831,15.0,33.0,10.0,8.25,56.2,28.0,15.8,WoSIS
Sacramento,37.9677773,-121.640831,33.0,61.0,3.4,8.25,53.7,28.8,17.5,WoSIS
Sacramento,37.9677773,-121.640831,61.0,79.0,4.0,8.7,46.2,25.7,28.1,WoSIS
Sacramento,37.9677773,-121.640831,79.0,119.0,2.5,8.6,36.4,22.4,41.2,WoSIS
Sacramento,37.7244452999999,-121.8183365,0.0,15.0,13.7,6.4,45.9,42.0,12.1,WoSIS
Sacramento,37.7244452999999,-121.8183365,15.0,38.0,9.2,7.4,47.4,41.5,11.1,WoSIS
Sacramento,37.7244452999999,-121.8183365,38.0,66.0,7.1,7.6,47.0,43.7,9.3,WoSIS
Sacramento,37.7244452999999,-121.8183365,66.0,81.0,6.4,7.7,48.1,43.1,8.8,WoSIS
Sacramento,37.7244452999999,-121.8183365,81.0,107.0,4.1,7.8,43.9,48.3,7.8,WoSIS
Mississippi,30.1258334999999,-90.7677764999999,0.0,15.0,289.0,6.0,76.9,22.6,0.5,WoSIS
Mississippi,30.1258334999999,-90.7677764999999,30.0,101.0,50.1,6.1,92.9,7.0,0.1,WoSIS
Sacramento,38.2282294999999,-121.9518814,0.0,10.0,15.0,5.8,13.7,48.6,37.7,WoSIS
